model {'arch': 'resnet', 'depth': 20, 'width': 16, 'act': 'relu', 'num_classes': 10, 'widths': [16, 32, 64], 'stem_stride': 1} params=272,474
{"epoch": 1, "train_loss": 1.7433252191951132, "train_acc": 0.33001691595441596, "val_acc": 0.411, "lr": 0.020540796442011858, "epoch_sec": 93.19704294204712}
{"epoch": 2, "train_loss": 1.2198167697996156, "train_acc": 0.5581152065527065, "val_acc": 0.5494, "lr": 0.04722503511773944, "epoch_sec": 92.44006896018982}
{"epoch": 3, "train_loss": 0.9855524221716443, "train_acc": 0.6500623219373219, "val_acc": 0.637, "lr": 0.07755168811203142, "epoch_sec": 96.04888367652893}
{"epoch": 4, "train_loss": 0.8465423782666525, "train_acc": 0.7011217948717948, "val_acc": 0.7102, "lr": 0.09731332982576067, "epoch_sec": 98.6462790966034}
{"epoch": 5, "train_loss": 0.7393465511649423, "train_acc": 0.7413639601139601, "val_acc": 0.711, "lr": 0.09990417889716847, "epoch_sec": 91.71900534629822}
{"epoch": 6, "train_loss": 0.6745846778409094, "train_acc": 0.7659143518518519, "val_acc": 0.7466, "lr": 0.09914628175923489, "epoch_sec": 91.99144291877747}
{"epoch": 7, "train_loss": 0.6205867485612886, "train_acc": 0.7864805911680912, "val_acc": 0.7344, "lr": 0.09764413503582522, "epoch_sec": 95.06597924232483}
{"epoch": 8, "train_loss": 0.5831220093106273, "train_acc": 0.7988336894586895, "val_acc": 0.6944, "lr": 0.09542050974006233, "epoch_sec": 95.74941277503967}
{"epoch": 9, "train_loss": 0.5516110937989336, "train_acc": 0.8091168091168092, "val_acc": 0.7288, "lr": 0.09250911376479114, "epoch_sec": 94.8486659526825}
{"epoch": 10, "train_loss": 0.5269593591364021, "train_acc": 0.8181980056980057, "val_acc": 0.7874, "lr": 0.08895408090528312, "epoch_sec": 94.86717057228088}
{"epoch": 11, "train_loss": 0.5042361872658091, "train_acc": 0.8269230769230769, "val_acc": 0.7764, "lr": 0.08480930183588746, "epoch_sec": 98.65348291397095}
{"epoch": 12, "train_loss": 0.48447230101650596, "train_acc": 0.8328659188034188, "val_acc": 0.7504, "lr": 0.08013760718234104, "epoch_sec": 93.90976595878601}
{"epoch": 13, "train_loss": 0.47417054200104497, "train_acc": 0.8367610398860399, "val_acc": 0.783, "lr": 0.07500981507352833, "epoch_sec": 93.95072436332703}
{"epoch": 14, "train_loss": 0.4493921572326595, "train_acc": 0.8440616096866097, "val_acc": 0.828, "lr": 0.06950365761083545, "epoch_sec": 93.41487073898315}
{"epoch": 15, "train_loss": 0.43583614695445766, "train_acc": 0.8505608974358975, "val_acc": 0.7868, "lr": 0.06370260252872899, "epoch_sec": 95.57331919670105}
{"epoch": 16, "train_loss": 0.4181175219197559, "train_acc": 0.8565037393162394, "val_acc": 0.8306, "lr": 0.0576945879089837, "epoch_sec": 93.69487237930298}
{"epoch": 17, "train_loss": 0.40558669773431927, "train_acc": 0.8590188746438746, "val_acc": 0.8214, "lr": 0.051570689129002055, "epoch_sec": 94.91109323501587}
{"epoch": 18, "train_loss": 0.38889265034952736, "train_acc": 0.8657184829059829, "val_acc": 0.8248, "lr": 0.04542373825192989, "epoch_sec": 95.0984103679657}
{"epoch": 19, "train_loss": 0.37181338790984575, "train_acc": 0.8708600427350427, "val_acc": 0.7954, "lr": 0.039346916787206886, "epoch_sec": 96.27342343330383}
{"epoch": 20, "train_loss": 0.3586449486407799, "train_acc": 0.8756232193732194, "val_acc": 0.856, "lr": 0.03343234315386757, "epoch_sec": 95.17997241020203}
{"epoch": 21, "train_loss": 0.3395417926573006, "train_acc": 0.8813212250712251, "val_acc": 0.8566, "lr": 0.027769676259208946, "epoch_sec": 95.3953607082367}
{"epoch": 22, "train_loss": 0.3198528037621425, "train_acc": 0.8890892094017094, "val_acc": 0.8612, "lr": 0.02244475636114925, "epoch_sec": 96.88219046592712}
{"epoch": 23, "train_loss": 0.29741551393796917, "train_acc": 0.8971020299145299, "val_acc": 0.867, "lr": 0.01753830381741861, "epoch_sec": 93.29955315589905}
{"epoch": 24, "train_loss": 0.2691588285259711, "train_acc": 0.9068732193732194, "val_acc": 0.879, "lr": 0.013124695447217644, "epoch_sec": 94.13515639305115}
{"epoch": 25, "train_loss": 0.2459809493135523, "train_acc": 0.9152421652421653, "val_acc": 0.8884, "lr": 0.009270837054453971, "epoch_sec": 93.89157843589783}
{"epoch": 26, "train_loss": 0.21269285205507552, "train_acc": 0.9268830128205128, "val_acc": 0.8896, "lr": 0.006035149203954936, "epoch_sec": 92.40686130523682}
{"epoch": 27, "train_loss": 0.1879109920259894, "train_acc": 0.9354745370370371, "val_acc": 0.8978, "lr": 0.0034666816252555237, "epoch_sec": 93.83136129379272}
{"epoch": 28, "train_loss": 0.1635991673587564, "train_acc": 0.9436876780626781, "val_acc": 0.8988, "lr": 0.0016043696686971393, "epoch_sec": 92.39791631698608}
{"epoch": 29, "train_loss": 0.1486482579483945, "train_acc": 0.9500756766381766, "val_acc": 0.9036, "lr": 0.00047644408520493064, "epoch_sec": 93.06059265136719}
{"epoch": 30, "train_loss": 0.14125546731288277, "train_acc": 0.9527021011396012, "val_acc": 0.902, "lr": 0.00010000307688060381, "epoch_sec": 93.29607224464417}
done: selected epoch 29 (val 0.9036) test=0.8991 final-epoch test=0.8999 minutes=47.3
