[06:43:01] resnet20_relu    npu-default  n=  512 bal=1 seed=0 acc=0.9036 drop=+0.0011
[06:43:35] resnet20_relu    npu-default  n=  512 bal=1 seed=1 acc=0.9046 drop=+0.0001
[06:44:05] resnet20_relu    npu-default  n=  512 bal=1 seed=2 acc=0.9060 drop=-0.0013
[06:44:39] resnet20_relu    npu-default  n= 2048 bal=1 seed=0 acc=0.9045 drop=+0.0002
[06:45:09] resnet20_relu    npu-default  n= 2048 bal=1 seed=1 acc=0.9041 drop=+0.0006
[06:45:40] resnet20_relu    npu-default  n= 2048 bal=1 seed=2 acc=0.9059 drop=-0.0012
[06:46:09] resnet20_relu    per-tensor   n=   32 bal=1 seed=0 acc=0.9056 drop=-0.0009
[06:46:39] resnet20_relu    per-tensor   n=   32 bal=1 seed=1 acc=0.9056 drop=-0.0009
[06:47:08] resnet20_relu    per-tensor   n=   32 bal=1 seed=2 acc=0.9056 drop=-0.0009
[06:47:38] resnet20_relu    per-tensor   n=  128 bal=1 seed=0 acc=0.9060 drop=-0.0013
[06:48:06] resnet20_relu    per-tensor   n=  128 bal=1 seed=1 acc=0.9059 drop=-0.0012
[06:48:34] resnet20_relu    per-tensor   n=  128 bal=1 seed=2 acc=0.9064 drop=-0.0017
[06:49:04] resnet20_relu    per-tensor   n=  512 bal=1 seed=0 acc=0.9053 drop=-0.0006
[06:49:33] resnet20_relu    per-tensor   n=  512 bal=1 seed=1 acc=0.9060 drop=-0.0013
[06:50:02] resnet20_relu    per-tensor   n=  512 bal=1 seed=2 acc=0.9054 drop=-0.0007
[06:50:32] resnet20_relu    per-tensor   n= 2048 bal=1 seed=0 acc=0.9059 drop=-0.0012
[06:51:04] resnet20_relu    per-tensor   n= 2048 bal=1 seed=1 acc=0.9056 drop=-0.0009
[06:51:37] resnet20_relu    per-tensor   n= 2048 bal=1 seed=2 acc=0.9061 drop=-0.0014
